english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
beads,Noun,pisi_kat,beadsn.mp3,,pinguat,,Makut pinguat cucunartut. - These beads are beautiful.,beads.gif,,"Household, Clothing & Regalia",Candace Branson,AWOTW,TRUE,
bay,Noun,kangiyaq,bayn.mp3,Pa_ag_autaq kangiyamen iluwartuq. - The boat is coming into the bay.,kangiyaq,bayn.mp3,Pa_ag_uutaq kangiyamen iluwartuq. - The boat is coming into the bay.,bay.jpg,,Environment & Location,Candace Branson,AWOTW,TRUE,
barber; hairstylist,Noun,sushnga_ista,barbers.mp3,,sushnga_ista,barbers.mp3,,barber.jpg,,"Community & Work, People & Roles",Candace Branson,,TRUE,
barista,Noun,kaufialista,barista.mp3,,kuugialista; kuufialista,barista.mp3,,SKH_091.gif,,"People & Roles, People & Roles, People & Roles",Candace Branson,New Word,TRUE,
"bacon, slices of",Noun,paikinat,baconn.mp3,,piikinat,bacons.mp3,,Fotosearch_FAD_102.gif,,Food & Kitchen,Candace Branson,,TRUE,
"baking, s/he is",Verb,st_aapairtuq,bakingheis.mp3,,,bakingheis.mp3,,skh_146.jpg,,Food & Kitchen,Candace Branson,,TRUE,
"bottle, baby",Noun,amaarsuun,babybottle3n.mp3,,amaarsuun,babybottle3n.mp3,,babybottle.gif,,Household,Candace Branson,,TRUE,
"bottle, baby",Noun,mugsuun; mugsuuteq,babybottle1.mp3,,mugsuun; mugsuuteq,babybottle2n.mp3,,babybottle.gif,,Household,Candace Branson,,TRUE,
August; Berry Moon,Noun,Alagnat Iraluat,augustn.mp3,,Alagnat Iraluat,augustn.mp3,,august.gif,,Numbers & Time,Candace Branson,Month,TRUE,
apron,Noun,pe_it'hniik,apronn.mp3,,pi_it'hniik,aprons.mp3,,apron.gif,,Food & Kitchen,Candace Branson,,TRUE,
animals,Noun,unguwallriat,animalsn.mp3,Unguwallriat amlertut maani. - The animals are plentiful here.,unguwallriat,animalsn.mp3,Unguwallriat amlertut maani. - The animals are plentiful here.,animals.jpg,,Animals,Candace Branson,AWOTW,TRUE,
fingernail,Noun,stuk,fingernailn.mp3,,stuk,fingernails.mp3,,fingernail.gif,,Body & Health,Candace Branson,,TRUE,
Devil,Noun,Iiyaq,deviln.mp3,,Iiyaq,deviln.mp3,,,,People & Roles,Candace Branson,,TRUE,
"digging, s/he is",Verb,lagtuq,diggingn.mp3,,lagtuq,diggingn.mp3,,Fotosearch_RES_159.gif,,"Community & Work, Physical Actions",Candace Branson,,TRUE,
dress,Noun,taqmak,L2.19.08n.mp3,,taqmak,L2.19.08s.mp3,,SKH_045.gif,,Clothing & Regalia,Candace Branson,,TRUE,
doughnuts (2),Noun,alatiruak,donut.mp3,,alaciruak,donut.mp3,,SKT_198.gif,,Food & Kitchen,Candace Branson,,TRUE,
"dollar bill, a five",Noun,talliman akiq,,,talliman akiq,,,5dollar.gif,,Numbers & Time,Candace Branson,,TRUE,
"dollar bill, a ten",Noun,qulen akiq,tendollarsn.mp3,,qulen akiq,tendollarsn.mp3,,10dollar.gif,,Numbers & Time,Candace Branson,,TRUE,
butter dish,Noun,maslauteq,butterdishn.mp3,,maslauteq,butterdishn.mp3,,butterdish.gif,,Food & Kitchen,Candace Branson,,TRUE,
dishtowel,Noun,t_aap'kaaq,dishtowel1n.mp3,,t_aap'kaaq,dishtowel1n.mp3,,dishtowel.gif,,Household,Candace Branson,,TRUE,
dishtowel,Noun,t_aapic'skaaq,dishtoweln.mp3,,t_aapic'skaaq,dishtoweln.mp3,,dishtowel.gif,,Household,Candace Branson,,TRUE,
doorknob,Noun,_uuc'kaaq,doorknob2n.mp3,,_uuc'kaaq,doorknob2n.mp3,,doorknob.gif,,Household,Candace Branson,Russian,TRUE,
doorknob,Noun,amii'im agaa,doorknobn.mp3,,amii'im agaa,doorknobn.mp3,,doorknob.gif,,Household,Candace Branson,,TRUE,
door frame,Noun,amii'im awatii,doorframen.mp3,,amii'im awatii,doorframen.mp3,,doorframe.gif,,Household,Candace Branson,,TRUE,
"dryer, clothes",Noun,kenercirsuuteq; kinengcirsuuteq,driern.mp3,,,driern.mp3,,dryer.gif,,Household,Candace Branson,,TRUE,
dresser; drawer,Noun,kamuutaq,,,kamuutaq,dressers.mp3,,dresser.gif,,Household,Candace Branson,,TRUE,
"dream, a",Noun,qawanguq,,Kalla'alek qawangurtua'uq. - The shaman is dreaming.,qawanguq,dreams.mp3,Kalla'alek qawangurtua'uq. - The shaman is dreaming.,dream.gif,qawangur-,Senses & Emotions,Candace Branson,"AWOTW, Alternative: Qawangurtuaq",TRUE,
dove,Noun,qulupiaq,doven.mp3,,qulupiaq,doven.mp3,,fotosearch_col_075.jpg,,Animals,Candace Branson,,TRUE,
"dreaming, s/he is",Verb,qawangurtua'uq,dreamingn.mp3,,qawangurtua'uq,dreamingn.mp3,,dreaming.gif,,"Physical Actions, Senses & Emotions",Candace Branson,,TRUE,
dremmel tool,Noun,t_iimalaq,dremmeln.mp3,,t_iimalaq,dremmeln.mp3,,,,Community & Work,Candace Branson,New Word,TRUE,
"dress, formal (long)",Noun,"akurtusqaq taqmak,",formaldressn.mp3,,"akurtusqaq taqmak,",formaldressn.mp3,,SKH_048.gif,,Clothing & Regalia,Candace Branson,,TRUE,
driftwood (logs),Noun,tep'at,,,tep'at,,,tepat.jpeg,,Vegetation,Candace Branson,,TRUE,
driftwood (small pieces),Noun,pukilaat,driftwood1n.mp3,Pukilaanek iwa'at'skut. - Let's look for driftwood.,pukilaat,driftwood1n.mp3,Pukilaanek iwa'at'skut. - Let's look for driftwood.,pukilaat.jpeg,,Vegetation,Candace Branson,"AWOTW, also ""kapilaq""",TRUE,
drum,Noun,mengquyutaq,drum2n.mp3,,mengquyutaq,drum2n.mp3,,Drum.gif,,Communication & Arts,Candace Branson,New Word,TRUE,
