english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
drum; music,Noun,cauyaq,drum1n.mp3,Cauyaq nitniqgu. - Listen to the drum.,cauyaq,drum1n.mp3,Cauyaq nitniqgu. - Listen to the drum.,Drum.gif,,Communication & Arts,Candace Branson,AWOTW,TRUE,
drinks; sodas,Noun,taangaruat,,,taangaruat,drinkss.mp3,,SKT_218.gif,,Food & Kitchen,Candace Branson,,TRUE,
"drinking, s/he is",Verb,cuutuq,,,cuutuq,drinkings.mp3,,Fotosearch_EVW_036.gif,,Food & Kitchen,Candace Branson,,TRUE,
live; to be alive,Verb,unguwaluni,,Una suk unguwaciquq takqamek. - This person will live a long life.,unguwaluni,alives.mp3,Una suk unguwaciquq takqamek. - This person will live a long life.,,,"Body & Health, Qualities",Candace Branson,,TRUE,
"drinking (alcohol), s/he is",Verb,piturtuq,drinkingn.mp3,,piturtuq,drinkingn.mp3,,fotosearch_evw_070.jpg,,Food & Kitchen,Candace Branson,,TRUE,
drill,Noun,,,,napaaliaq,drilln.mp3,,drill.gif,,Community & Work,Candace Branson,,TRUE,
dollar(s); money,Noun,akiq (1); akik (2); akit (3+),moneyn.mp3,,akiq (1); akik (2); akit (3+),moneyn.mp3,,SKT_048.gif,,Numbers & Time,Candace Branson,,TRUE,
"dollar bill, a twenty",Noun,suinaq akiq,twentydollarsn.mp3,,suinaq akiq,twentydollarsn.mp3,,20dollar.gif,,"Numbers & Time, Numbers & Time",Candace Branson,,TRUE,
"dump trash, s/he is going to",Verb,pumuuwiniik kugyaturaa,dumpthetrashn.mp3,,pumuuwiniik kugyaturaa,dumpthetrashn.mp3,,Fotosearch_SKC_118.gif,,Physical Actions,Candace Branson,,TRUE,
dump,Noun,callr'wik,dumpn.mp3,,callr'wik,dumpn.mp3,,callrwik.jpeg,,Community & Work,Candace Branson,,TRUE,
Easter egg,Noun,Paas'kaam mania,eastereggsn.mp3,,Paas'kaam mania,eastereggsn.mp3,,SKT_172.gif,,Community & Work,Candace Branson,,TRUE,
"eat, you should",Verb,nerkina,eatyoushouldn.mp3,,nerkina,eatyoushouldn.mp3,,fotosearch_fad_152.jpg,,Food & Kitchen,Candace Branson,,TRUE,
"eat, you can",Verb,Nersuumutan,youcaneatn.mp3,,Nersuumutan,youcaneatn.mp3,,fotosearch_fad_152_copy1.jpg,,Food & Kitchen,Candace Branson,,TRUE,
eat (command) (now),Verb,neri,eat.mp3,,neri,eat.mp3,,fotosearch_fad_154_copy1.jpg,,Food & Kitchen,Candace Branson,,TRUE,
email (fast paper),Noun,cukasqaq kalikaq,emailn.mp3,,cukasqaq kalikaq,emailn.mp3,,,,Community & Work,Candace Branson,New Word,TRUE,
escalator (steps that move),Noun,t_aapat p'tasqat,escalatorn.mp3,,t_aapat p'tasqat,escalatorn.mp3,,going_down2_copy1.jpg,,Community & Work,Candace Branson,New Word,TRUE,
eyeglasses,Noun,ackiik,glassesn.mp3,,ackiik,glassesn.mp3,,SKH_050.gif,,Clothing & Regalia,Candace Branson,,TRUE,
Fairbanks,Noun,Cenk'gt'sqaq,fairbanksn.mp3,,Cenk'gt'sqaq,fairbanksn.mp3,,Fairbanks.gif,,Placenames,Candace Branson,New Word,TRUE,
fake eye; contact lens,Noun,iingalaruaq,contactn.mp3,,iingalaruaq,contactn.mp3,,contact.gif,,Body & Health,Candace Branson,New Word,TRUE,
Far out! (very far),Complex,Ikanisinaq,faroutn.mp3,,Ikanisinaq,faroutn.mp3,,,,Greetings & Expressions,Candace Branson,,TRUE,
Father's Day,Noun,Atam Ernera,fathersdayn.mp3,,Atam Ernera,fathersdayn.mp3,,,,Community & Work,Candace Branson,New Word; Holiday,TRUE,
filter,Noun,siitaq,filtern.mp3,,siitaq,filtern.mp3,,,,Community & Work,Candace Branson,Remembered Word,TRUE,
February; Shortest Moon,Noun,Nanic'aaq Iraluq,februaryn.mp3,,Nanic'aaq Iraluq,februaryn.mp3,,february.gif,,Numbers & Time,Candace Branson,Month,TRUE,
firewood (many); wood pile,Noun,iqiuwat,firewoodn.mp3,,iqiuwat,firewoodn.mp3,,iqiuwat.jpg,,"Household, Vegetation",Candace Branson,,TRUE,
fish head soup,Noun,nasquq suupaq,headsoupn.mp3,,nasquq suupaq,headsoupn.mp3,,Fotosearch_FAD_180.gif,,Food & Kitchen,Candace Branson,,TRUE,
"pilot, airplane",Noun,tengausqam nunalga,pilotn.mp3,,tengausqam nunalga,pilotn.mp3,,SKH_138.gif,,Transportation,Candace Branson,New Word,TRUE,
aircraft (3+); things for flying,Noun,tengaursuutet,airplanesn.mp3,,tengaursuutet,airplanesn.mp3,,aircraft.gif,tengaursuute-,Transportation,Candace Branson,,TRUE,
"Christmas Eve, Russian",Noun,Rausistuam Maqinra,christmaseven.mp3,,A_usistuam Maqinra,christmaseven.mp3,,SKT_170.gif,,"Community & Work, Community & Work",Candace Branson,Holiday,TRUE,
"clapping, s/he is",Verb,aigani qacarqurai,clappingn.mp3,,aigani qacarqurai,clappingn.mp3,,Fotosearch_SWO_014.gif,,Physical Actions,Candace Branson,,TRUE,
"class, at",Locative,litnaurwigmi,atclassn.mp3,,litnaurwigmi,atclassn.mp3,,school.jpg,,Community & Work,Candace Branson,,TRUE,
"cleaning, they are",Verb,p'rirca'i'yut,cleaningtheyaren.mp3,,p'rirca'i'yut,cleaningtheyaren.mp3,,cleaning.gif,,Physical Actions,Candace Branson,,TRUE,
clothes,Noun,atkut,clothesn.mp3,Atkunek piliyuq. - S/he is making clothes.,agunat,clothess.mp3,Agunanek piliyuq. - S/he is making clothes.,clothes.gif,,Clothing & Regalia,Candace Branson,AWOTW,TRUE,
clothing rod; hanging place,Noun,iniwik,hangingplacen.mp3,,iniwik,hangingplacen.mp3,,clothesrod.gif,,Household,Candace Branson,,TRUE,
"cold, s/he is",Verb,quyartaa,coldheisn.mp3,,quyartaa,coldhesheiss.mp3,,Fotosearch_SKC_020.gif,,Senses & Emotions,Candace Branson,,TRUE,
coffee maker,Noun,kaufialisuun,coffeemakern.mp3,,kuugialisuun,coffeemakern.mp3,,SKT_099.gif,,Food & Kitchen,Candace Branson,,TRUE,
coffee,Noun,kaufiaq,coffee.mp3,,kuugiaq,coffees.mp3,,fotosearch_col_162.jpg,,Food & Kitchen,Candace Branson,,TRUE,
"know it, I do",Verb,nallun_itaqa,knowitn.mp3,,nallun_itaqa,,,,,Greetings & Expressions,Candace Branson,,TRUE,
I don't know it,Verb,nalluwaqa,,,nalluwaqa,,,,,Greetings & Expressions,Candace Branson,,TRUE,
only; but; however,Other,kesiin,only.mp3,,kesiin,,,,,Greetings & Expressions,Candace Branson,,TRUE,
I know that one (person or thing),Verb,nallun'taqa taugna,iknowthatonen.mp3,,nallun'taqa taugna,,,,,Greetings & Expressions,Candace Branson,,TRUE,
pills,Noun,piluliit,pills.mp3,,piluliit,pillss.mp3,,Fotosearch_SKC_110.gif,,"Body & Health, Body & Health",Candace Branson,,TRUE,
pretty; beautiful he/she/it is,Verb,cucunartuq,,,cucunartuq,,,pretty.jpg,,Qualities,Candace Branson,,TRUE,
ugly; not pretty he/she/it is,Verb,cucunaituq,,,cucunaituq,,,ugly.jpg,,Qualities,Candace Branson,,TRUE,
"broom, small",Noun,kagitengcuk,L2.03.17n.mp3,,kagit'ngcuk,L2.03.17s.mp3,,littlebroom.jpg,,Household,Candace Branson,,TRUE,
"biting, he/she/it; bite",Verb,kegmartuq,L2.09.17n.mp3,,kegmartuq,L2.09.17s.mp3,,bite.jpg,,Physical Actions,Candace Branson,,TRUE,
beside it,Locative,caniani,L1.14.05n.mp3,taquka'aq yaasiim caniani.,caniani,L1.14.05s.mp3,taquka'aq yaasiim caniani.,bearbesidebox.jpg,,Environment & Location,Candace Branson,,TRUE,
bicycle; bike,Noun,pis'ikletaq,biken.mp3,,pis'ikliitaq,bikes.mp3,,skh_076.jpg,pis'ikletar-; pis'ikliitar-,"Environment & Location, Transportation",Candace Branson,,TRUE,
backwards; to the back,Adverb,kingutmen,L2.10.14n.mp3,,kingutmen,L2.10.14s.mp3,,,,Physical Actions,Candace Branson,,TRUE,
Many; a lot; numerous,Pronoun,amlertut,manyn.mp3,,amlertut,manyn.mp3,,,,Qualities,Candace Branson,,TRUE,
"arrived (by), I",Verb,t'kit'llrianga,L1.18.15n.mp3,,t'kit'llianga,L1.18.15s.mp3,,arrive.jpg,,"Physical Actions, Transportation",Candace Branson,,TRUE,
What is this?,Complex,Caqiq una?,whatisthisn.mp3,,Caqiq una?,whatisthisones.mp3,,whatisit_copy1.jpg,caqi-,Greetings & Expressions,Candace Branson,,TRUE,
"understand, I don't",Complex,kangircinitua; kangircunitua,L2.03.04n.mp3,,kangircinitua; kangircunitua,L2.03.04s.mp3,,notunderstand.jpg,,Greetings & Expressions,Candace Branson,,TRUE,
